numinstallation;nominstallation;adresse;codepostal;commune;typequipement;latitude;longitude
I181970026;L'HOMME CARREAU CLUB MODELISTE;Rue Blaise Lutendre;18200;Saint-Amand-Montrond;Site d'aéromodélisme;46.72771;2.54141
I182310001;CHEMINS DE RANDONNEE;place de la mairie  Les Vivons;18210;Saint-Pierre-les-Étieux;Boucle de randonnée;46.73928;2.59328
I182310002;ZONE DE JEUX DE LA SALLE DES FETES;Le Donat Les Vivons;18210;Saint-Pierre-les-Étieux;Terrain de pétanque;46.73435;2.595541
I182310002;ZONE DE JEUX DE LA SALLE DES FETES;Le Donat Les Vivons;18210;Saint-Pierre-les-Étieux;Terrain de pétanque;46.73435;2.595541
I182760001;TERRAIN DE PETANQUE;D175 Bourg;18210;Vernais;Terrain de pétanque;46.76546;2.712972
I180130002;TERRAIN DE PETANQUE;Route de l'étang Les Chaumes;18200;Arpheuilles;Terrain de boules;46.781;2.56685
I180290001;ZONE SPORTIVE PLACE DE L'EGLISE;Place de l'Eglise;18210;Bessais-le-Fromental;Boucle de randonnée;46.74656;2.76202
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Court de tennis;46.73588;2.79591
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Piste de bicross;46.73543;2.79322
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Terrain de beach-volley;46.7346252;2.7968144
I180340002;SALLE DES FETES;Rue des Maisons blanches Le Bourg;18200;Bouzais;Salles polyvalentes / des fêtes / non spécialisées;46.70454;2.47847
I180380003;AIRE DE REPOS DU CENTRE DE LA FRANCE;3 avenue de Saint Amand La Celle;18200;Bruère-Allichamps;Parcours sportif/santé;46.75397;2.41276
I180420001;CHEMIN DE RANDONNEE;Mairie;18200;La Celle;Boucle de randonnée;46.76832;2.44445
I180520001;TERRAINS DE TENNIS;Route Neuve;18210;Charenton-du-Cher;Court de tennis;46.73056;2.64363
I180520002;PARC DES SPORTS;Rue du stade;18210;Charenton-du-Cher;Terrain de football;46.73057;2.64592
I180520002;PARC DES SPORTS;Rue du stade;18210;Charenton-du-Cher;Terrain de football;46.73157;2.64597
I180520003;STAND DE TIR SPORTING CLUB DE SAINT AMAND MONTROND (TSCSA);Route d'Arpheuilles Mitreux;18210;Charenton-du-Cher;Pas de tir à la cible;46.74169;2.62743
I180520003;STAND DE TIR SPORTING CLUB DE SAINT AMAND MONTROND (TSCSA);Route d'Arpheuilles Mitreux;18210;Charenton-du-Cher;Pas de tir à la cible;46.74192;2.62903
I180520004;CHEMINS DE RANDONNEE;rue nationale;18210;Charenton-du-Cher;Boucle de randonnée;46.73133;2.63057
I180520004;CHEMINS DE RANDONNEE;rue nationale;18210;Charenton-du-Cher;Boucle de randonnée;46.72965;2.64233
I180690002;CHEMINS DE RANDONNEE;Place de la mairie;18200;Colombiers;Boucle de randonnée;47.56786;2.30507
I180760002;STADE;Route de Charenton Les Gagneries;18210;Coust;Terrain de pétanque;46.6948807;2.6002728
I180760003;SALLE DES FETES;Route d'Ainay Le bourg;18210;Coust;Salles polyvalentes / des fêtes / non spécialisées;46.69349;2.59711
I180860001;SALLE DES FETES;rue du domaine;18200;Drevant;Salles polyvalentes / des fêtes / non spécialisées;46.69444;2.5223
I180860002;CHEMINS DE RANDONNEE;PLACE DE L'EGLISE;18200;Drevant;Boucle de randonnée;46.69322;2.52487
I180910001;ETANG COMMUNAL;La Tremblaye;18200;Farges-Allichamps;Site de pêche;46.75938;2.39249
I180910002;CHEMINS DE RANDONNEE;Le Bourg;18200;Farges-Allichamps;Boucle de randonnée;46.76322;2.41556
I180910003;CENTRE EQUESTRE LE RIO JAVAR;Route de Vallenay;18200;Farges-Allichamps;Carrière;46.76049;2.3974
I181070001;CHEMINS DE RANDONNEE;Place de la Croix;18200;La Groutte;Boucle de randonnée;46.68724;2.51047
I181070002;MOTO VERTE DREVANT;Le Bourg;18200;La Groutte;Boucle de randonnée;46.68824;2.5116
I181070003;SALLE DES FETES;route d'Ainay le Vieil Les Paleteaux;18200;La Groutte;Salles polyvalentes / des fêtes / non spécialisées;46.68544;2.51685
I181360002;STADE;;18170;Marçais;Terrain de football;46.69719;2.37538
I181360002;STADE;;18170;Marçais;Terrain de pétanque;46.69735;2.37446
I181420002;ESPACE DES CHAUMES;Rue du fourneau;18200;Meillant;Terrain de pétanque;46.78951;2.50818
I181420002;ESPACE DES CHAUMES;Rue du fourneau;18200;Meillant;Terrain de pétanque;46.78831;2.50726
I181420002;ESPACE DES CHAUMES;Rue du fourneau;18200;Meillant;Terrain de football;46.78876;2.50806
I181710001;L'ETANG DES PECHERIES;Route d'Arcomps;18200;Orcenais;Site de pêche;46.71591;2.4274
I181710003;CHEMINS DE RANDONNEE;Place de l'Eglise;18200;Orcenais;Boucle de randonnée;46.71705;2.42505
I181710003;CHEMINS DE RANDONNEE;Place de l'Eglise;18200;Orcenais;Boucle de randonnée;46.71705;2.42505
I181720001;STADE DU VAL D'OR;Rue des Ecoles;18200;Orval;Terrain de pétanque;46.726937;2.477433
I181720001;STADE DU VAL D'OR;Rue des Ecoles;18200;Orval;Terrain de pétanque;46.726937;2.477433
I181720002;COMPLEXE SPORTIF MAURICE TROMPEAU;Avenue de Sully;18200;Orval;Terrain de football;46.72638;2.47285
I181720002;COMPLEXE SPORTIF MAURICE TROMPEAU;Avenue de Sully;18200;Orval;Piste d'athlétisme isolée;46.72532;2.47268
I181720003;CHEMIN DE RANDONNEE;Rue de la mairie;18200;Orval;Boucle de randonnée;46.7264;2.4815
I181720004;GROUPE SCOLAIRE D'ORVAL (JACQUES GANNE);Route de reuilly;18200;Orval;Terrain de handball;46.726588;2.478608
I181720004;GROUPE SCOLAIRE D'ORVAL (JACQUES GANNE);Route de reuilly;18200;Orval;Terrain de basket-ball;46.726558;2.479284
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181720005;TERRAINS DE PETANQUE;Route de la Groutte;18200;Orval;Terrain de pétanque;46.43217;2.29133
I181970001;STADE DU PRE DES JONCS;Chemin du Pré des Joncs;18200;Saint-Amand-Montrond;Terrain de football;46.71982;2.48895
I181970003;COMPLEXE DE TENNIS JEAN DE CONTI;Rue des Flipottes;18200;Saint-Amand-Montrond;Court de tennis;46.716072;2.514395
I181970004;KARTING;Route de Montlucon;18200;Saint-Amand-Montrond;Piste de kart;46.69231;2.54395
I181970005;AIRE DE LOISIR;Rue Georges Pompidou;18200;Saint-Amand-Montrond;Piste de bicross;46.71706;2.51575
I181970006;CENTRE BALNEO LUDIQUE;Rue des Ciseleurs;18200;Saint-Amand-Montrond;Bassin ludique de natation;46.72572;2.53165
I181970008;PETANQUE;Allée du Vernet;18200;Saint-Amand-Montrond;Terrain de pétanque;46.734597;2.505261
I181970009;ECOLE MALARD;8 Ernest Malard;18200;Saint-Amand-Montrond;Multisports/City-stades;46.724147;2.507085
I181970012;LAC DE VIRLAY;Route de Bourges;18200;Saint-Amand-Montrond;Site d'activités aquatiques et nautiques;46.73352;2.48269
I181970015;BOULODROME;12 avenue de la république;18200;Saint-Amand-Montrond;Terrain de pétanque;46.72652;2.50777
I181970016;CITY STADE DIDIER GERBAUD;Rue Hugues Lapaire;18200;Saint-Amand-Montrond;Terrain de pétanque;46.736152;2.505261
I181970018;COMPLEXE GEORGES BARATON;Rue Pierre de Coubertin;18200;Saint-Amand-Montrond;Terrain de football;46.71603;2.51036
I181970018;COMPLEXE GEORGES BARATON;Rue Pierre de Coubertin;18200;Saint-Amand-Montrond;Stade d’athlétisme;46.71594;2.51126
I181970019;CAMPING DE LA ROCHE;Rue de la Roche;18200;Saint-Amand-Montrond;Terrain de pétanque;46.71776;2.49051
I181970020;LYCEE PROFESSIONNEL JEAN GUEHENNO;31 Rue des Sables;18200;Saint-Amand-Montrond;Salle multisports (gymnase);46.73435;2.50632
I181970021;STADE VELODROME ALPHONSE GESSET;Rue Hugues Lapaire;18200;Saint-Amand-Montrond;Vélodrome;46.73513;2.5052
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Salle multisports (gymnase);46.7323;2.51318
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Piste d'athlétisme isolée;46.73279;2.51321
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Aire de lancer;46.73196;2.51293
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Terrain de football;46.731387;2.515374
I181970022;GYMNASE PIERRE OLIVIER;Rue des Tilleuls;18200;Saint-Amand-Montrond;Aire de saut;46.73175;2.51337
I181970024;STADE JEAN MARIE DURAND;Rue Sarrault;18200;Saint-Amand-Montrond;Terrain de rugby;46.73599;2.50061
I182310001;CHEMINS DE RANDONNEE;place de la mairie  Les Vivons;18210;Saint-Pierre-les-Étieux;Boucle de randonnée;46.73928;2.59328
I182310001;CHEMINS DE RANDONNEE;place de la mairie  Les Vivons;18210;Saint-Pierre-les-Étieux;Boucle de randonnée;46.7392;2.59328
I182310002;ZONE DE JEUX DE LA SALLE DES FETES;Le Donat Les Vivons;18210;Saint-Pierre-les-Étieux;Multisports/City-stades;46.734187;2.5951659
I182310002;ZONE DE JEUX DE LA SALLE DES FETES;Le Donat Les Vivons;18210;Saint-Pierre-les-Étieux;Terrain de pétanque;46.73435;2.595541
I182310003;CENTRE EQUESTRE DEUQUET ET FILS;Gâteau;18210;Saint-Pierre-les-Étieux;Manège;46.72313;2.57218
I182310003;CENTRE EQUESTRE DEUQUET ET FILS;Gâteau;18210;Saint-Pierre-les-Étieux;Manège;46.72313;2.57218
I182310003;CENTRE EQUESTRE DEUQUET ET FILS;Gâteau;18210;Saint-Pierre-les-Étieux;Parcours d'obstacles;46.72243;2.57197
I182310003;CENTRE EQUESTRE DEUQUET ET FILS;Gâteau;18210;Saint-Pierre-les-Étieux;Carrière;46.72245;2.57028
I180290001;ZONE SPORTIVE PLACE DE L'EGLISE;Place de l'Eglise;18210;Bessais-le-Fromental;Boucle de randonnée;46.74656;2.76202
I180290002;BASE DE LOISIRS DE GOULE;Champ de la Croix Goule;18210;Bessais-le-Fromental;Baignade aménagée;46.73428;2.79834
I180380001;A LA BOULE BRUEROISE;Route d'Allichamps Square René Larguinat;18200;Bruère-Allichamps;Terrain de pétanque;46.77215;2.42798
I180380002;STADE MUNICIPAL;Route de Bourges;18200;Bruère-Allichamps;Terrain de football;46.77953;2.43245
I180520001;TERRAINS DE TENNIS;Route Neuve;18210;Charenton-du-Cher;Court de tennis;46.73056;2.64363
I180520002;PARC DES SPORTS;Rue du stade;18210;Charenton-du-Cher;Terrain de pétanque;46.7307;2.64523
I180520004;CHEMINS DE RANDONNEE;rue nationale;18210;Charenton-du-Cher;Boucle de randonnée;46.72965;2.64233
I180690001;STADE;Rue du Stade;18200;Colombiers;Terrain de football;46.70078;2.54412
I180690001;STADE;Rue du Stade;18200;Colombiers;Terrain de football;46.70104;2.54244
I180690001;STADE;Rue du Stade;18200;Colombiers;Salles polyvalentes / des fêtes / non spécialisées;46.70027;2.54389
I180760001;CHEMINS DE RANDONNEE;place de la mairie route d'Ainay;18210;Coust;Boucle de randonnée;46.69411;2.59849
I180760002;STADE;Route de Charenton Les Gagneries;18210;Coust;Terrain de football;46.69425;2.60051
I180910003;CENTRE EQUESTRE LE RIO JAVAR;Route de Vallenay;18200;Farges-Allichamps;Carrière;46.76049;2.3974
I181360002;STADE;;18170;Marçais;Terrain de football;46.69638;2.37508
I181420001;CHEMIN DE RANDONNEE;La Meulière;18200;Meillant;Boucle de randonnée;46.76268;2.51862
I181420002;ESPACE DES CHAUMES;Rue du fourneau;18200;Meillant;Court de tennis;46.78821;2.50687
I181720001;STADE DU VAL D'OR;Rue des Ecoles;18200;Orval;Terrain de football;46.72657;2.4775
I181720002;COMPLEXE SPORTIF MAURICE TROMPEAU;Avenue de Sully;18200;Orval;Court de tennis;46.724939;2.47407
I181720002;COMPLEXE SPORTIF MAURICE TROMPEAU;Avenue de Sully;18200;Orval;Terrain de basket-ball;46.72501;2.47374
