reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0000002;Auvergne-Rhône-Alpes;Valserhône;34 rue de la République;"46.1077711035412, 5.825944937722621";Hôtel de ville;Ain
ACR0000004;Auvergne-Rhône-Alpes;Injoux-Génissiat;route du Barrage rue Marcel-Paul;"46.051822, 5.803728";"Centrale hydroélectrique, centrale hydroélectrique et barrage dits barrage de Génissiat";Ain
ACR0000006;Auvergne-Rhône-Alpes;Leaz;"ligne de Longeray-Bouveret (104, 147 km)";"46.097498, 5.883259";Viaduc ferroviaire de Longeray;Ain
ACR0000008;Auvergne-Rhône-Alpes;Segny;route Blanche;"46.297111, 6.074316";Église Notre-Dame de la Route Blanche;Ain
ACR0000009;Auvergne-Rhône-Alpes;Berrias-et-Casteljau;;"44.401832, 4.208299";"""Station de villégiature, village vacances Famille, dit complexe touristique - V.V.F. ""  Lou Castel """"";Ardèche
ACR0000029;Auvergne-Rhône-Alpes;Annecy;avenue de Parmelan / rue des Sœurs Blanches / rue Thomas-Raphy / boulevard du Lycée;"45.9064432770822, 6.13259055610414";centre commercial des Galeries Lafayette et parking;Haute-Savoie
ACR0000030;Auvergne-Rhône-Alpes;Annecy;avenue d'Albigny;"45.9060895722182, 6.142999240674311";Église Sainte-Bernadette;Haute-Savoie
ACR0000043;Auvergne-Rhône-Alpes;Cruseilles;péage de Cruseilles  pont de la route nationale 201 sur les Usses;"46.013850109075, 6.11182249027211";"pont dit, pont de la Caille dit aussi pont sur les Usses";Haute-Savoie
ACR0000046;Auvergne-Rhône-Alpes;Megève;44 chemin de l’Hermine-Blanche;"45.8568321220464, 6.62306139649481";"""maison dite chalet ""Le Cairn""""";Haute-Savoie
ACR0000047;Auvergne-Rhône-Alpes;Megève;51 chemin des Perchets;"45.85491562719681, 6.61812302717977";"""maison dite chalet ""La Croix-des-Perchets""""";Haute-Savoie
ACR0000055;Auvergne-Rhône-Alpes;Passy;171 route de Praz Coûtant;"45.9467064857958, 6.719183582088691";"sanatorium de Praz-Coutant, actuellement centre médical spécialisé";Haute-Savoie
ACR0000065;Auvergne-Rhône-Alpes;Grenoble;26 rue du Colonel-Dumont / rue de l' Aigle;"45.1815, 5.719506";"""brosserie de poils animal naturels dit ""Immeuble Mercure""""";Isère
ACR0000072;Auvergne-Rhône-Alpes;Grenoble;boulevard Joseph-Vallier;"45.180164, 5.710599";Église paroissiale Saint-Jean-l'Evangéliste;Isère
ACR0000073;Auvergne-Rhône-Alpes;Grenoble;117-127 rue des Alliés;"45.173818, 5.716253";"halle, marché de gros dit Marché d'Intérêt national";Isère
ACR0000076;Auvergne-Rhône-Alpes;Grenoble;4 rue Paul-Claudel;"45.17229, 5.7336160000000005";maison de la culture dite Le Cargo;Isère
ACR0000077;Auvergne-Rhône-Alpes;Grenoble;401 avenue Innsbruck;"45.155313, 5.734241";palais d'exposition dit Alpexpo;Isère
ACR0000082;Auvergne-Rhône-Alpes;Tronche (La);rue Jean-de-La-Fontaine;;Église Notre-Dame-du-Rosaire;Isère
ACR0000083;Auvergne-Rhône-Alpes;Verpillère (La);chemin couvent scolaire des Maristes;"45.629051, 5.151152";Externat Sainte-Marie;Isère
ACR0000088;Auvergne-Rhône-Alpes;Saint-Ismier;rue Doyen-Gosse / 90 route nationale;"45.255514, 5.839918";"""monument, mémorial dit ""Mémorial Doyen-Gosse""""";Isère
ACR0000096;Auvergne-Rhône-Alpes;Feurs;Émile-Zola (rue) rue Voltaire (rue);"45.742751, 4.234237";Résidence La Chartreuse (I.L.N.);Loire
ACR0000114;Auvergne-Rhône-Alpes;Clermont-Ferrand;34 avenue Carnot;"45.7761160198127, 3.09231912717753";Faculté des Sciences et des Lettres;Puy-de-Dôme
ACR0000123;Auvergne-Rhône-Alpes;Bron;5 avenue Pierre-Mendès-France / avenue de l'Université;"45.7201130546524, 4.91818696840983";"université, faculté des lettres et sciences humaines, dite faculté de Bron ou Université Lumière Lyon II";Rhône
ACR0000125;Auvergne-Rhône-Alpes;Caluire-et-Cuire;28 rue Jean-Moulin;"45.7978487992217, 4.84488641969503";poste;Rhône
ACR0000132;Auvergne-Rhône-Alpes;Lyon;Antonin-Poncet (place) 10;"45.7559467071673, 4.83402645601261";Poste centrale place Antonin Poncet;Rhône
ACR0000136;Auvergne-Rhône-Alpes;Lyon;Albert-Thomas (cours) 4;"45.7477704544823, 4.86034144251924";"usine de tabac dite manufacture des tabacs, actuellement université Lyon III";Rhône
ACR0000137;Auvergne-Rhône-Alpes;Lyon;Grande-rue de la Croix-Rousse (rue) 90;"45.7807527816995, 4.833369608223";théâtre de la Croix-Rousse;Rhône
ACR0000144;Auvergne-Rhône-Alpes;Lyon;Saint-Lazare (rue) 13;"45.74806279049131, 4.846899911740931";immeuble Rostagnat;Rhône
ACR0000145;Auvergne-Rhône-Alpes;Lyon;Jean-Jaurès (avenue) 350;"45.7242685377119, 4.82852378484729";palais des sports;Rhône
ACR0000148;Auvergne-Rhône-Alpes;Lyon;Villon (rue) 45-47-49;"45.7429418529351, 4.86513815416284";"hôpital dit, clinique Auguste-Lumière, actuellement Direction des Affaires techniques des Hospices civils de Lyon";Rhône
ACR0000154;Auvergne-Rhône-Alpes;Vaulx-en-Velin;chemin de la Poudrette / rue Alfred-de-Musset / avenue Roger-Salengro;"45.7611371862975, 4.92218559572094";"cité ouvrière, dite cité de la Soie (grande cité, petite cité, 3 villas de directeurs, Usine Tase)";Rhône
ACR0000163;Auvergne-Rhône-Alpes;Aime-la-Plagne;;;"immeuble, dit le Paquebot des neiges";Savoie
ACR0000175;Auvergne-Rhône-Alpes;Chambéry;chemin de la Chevalière / chemin de Chamoux / allée des Cimmes / route de l'Épine;"45.5810020339846, 5.88592790508294";Ensemble de logements dit La Chevalière;Savoie
ACR0000177;Auvergne-Rhône-Alpes;Fourneaux;place de l'Église;"45.1897385096212, 6.6503953455749";Église Notre-Dame;Savoie
ACR0000179;Auvergne-Rhône-Alpes;Allues (Les);;"45.397355298714, 6.56521262842136";"""station de sports d'hiver dite ""Méribel-les-Allues""""";Savoie
ACR0000197;Bourgogne-Franche-Comté;Aïssey;place de l'église;"47.268971923472, 6.330709546498508";Église;Doubs
ACR0000199;Bourgogne-Franche-Comté;Besançon;;"47.22220000000001, 5.97373";"Cité de Planoise, « Les Epoisses » de Planoise";Doubs
ACR0000201;Bourgogne-Franche-Comté;Besançon;quai Veil Picard;"47.2388, 6.01853";cité universitaire;Doubs
ACR0000212;Bourgogne-Franche-Comté;Montbéliard;4-6 rue de la Garenne;"47.49366, 6.809499";Gymnase Viette;Doubs
ACR0000223;Bourgogne-Franche-Comté;Vesoul;2-18 rue d'Alsace-Lorraine;"47.6232264985986, 6.15580165606603";villa Henri Kielwasser;Haute-Saône
ACR0000224;Bourgogne-Franche-Comté;Crotenay;;"46.755743, 5.810654";Etablissement régional d'enseignement adapté;Jura
ACR0000228;Bourgogne-Franche-Comté;Morbier;93 route Blanche;"46.5458860874259, 6.01467376916839";Usine Girod Médias;Jura
ACR0000234;Bourgogne-Franche-Comté;Charité-sur-Loire (La);7 rue de Gérigny;"47.1808447778834, 3.02489579838197";Silo à grains;Nièvre
ACR0000256;Bretagne;Fouesnant;Hent Ty Nod Beg-Meil;"47.85538535773661, -4.01306317276285";Village de vacances Renouveau;Finistère
ACR0000258;Bretagne;Plougastel-Daoulas;;"48.3874881773039, -4.39967913041853";Pont Albert-Louppe;Finistère
ACR0000275;Bretagne;Larmor-Plage;10 parc de la Citadelle;"47.71513639282681, -3.37120408492281";Maison de l'architecte Rogé Beauvir;Morbihan
ACR0000283;Bretagne;Vannes;28 rue Irène-Joliot-Curie;"47.6708295717948, -2.75613300530263";Église Saint-Guen;Morbihan
ACR0000286;Centre-Val de Loire;Bourges;8 allée des Collèges;"47.0986423740064, 2.42211637417533";Caisse régionale du Crédit agricole;Cher
ACR0000293;Centre-Val de Loire;Bourges;1 rue Littré  place Planchat;"47.0855634873813, 2.39285151952946";Maison Bouriant;Cher
ACR0000296;Centre-Val de Loire;Bourges;La Chancellerie / rue Gustave-Eiffel;;Ensemble résidentiel Les Merlattes;Cher
ACR0000307;Centre-Val de Loire;Sancerre;258 route d'Amigny;"47.3296790457469, 2.82986199838624";"Ancien abattoir, actuelle Brasserie sancerroise";Cher
ACR0000308;Centre-Val de Loire;Brou;16 route des Moulins;"48.2086833269011, 1.15660391375436";Piscine des Dauphins;Eure-et-Loir
ACR0000311;Centre-Val de Loire;Chartres;Place Pierre Sémard;"48.4485067213466, 1.48102672540513";Gare;Eure-et-Loir
ACR0000317;Centre-Val de Loire;Combres;rue Eugène-Fettu;"48.32539760302101, 1.06339221317212";"Mairie, école et bains-douches";Eure-et-Loir
ACR0000319;Centre-Val de Loire;Dreux;31-33 rue de Moronval;"48.7340013676768, 1.38444896959167";Eglise Saint-Michel;Eure-et-Loir
ACR0000322;Centre-Val de Loire;Dreux;Route de Paris;"48.7477033123585, 1.39951625424957";"Ancienne usine La Radiotechnique, actuelle pépinière d’entreprises La Radio";Eure-et-Loir
ACR0000329;Centre-Val de Loire;Mainvilliers;Avenue Victor-Hugo / 1 place Jean-Macé;"48.4482173041689, 1.4641017768579203";Résidence Jean-Macé;Eure-et-Loir
ACR0000332;Centre-Val de Loire;Nogent-le-Rotrou;33 rue de la Bretonnerie;"48.3176084455916, 0.810719693834115";Lycée Rémi Belleau;Eure-et-Loir
ACR0000334;Centre-Val de Loire;Oulins;Étang des Vingtaines / chemin du Lavoir;"48.8660672097018, 1.46310545898875";"Ancien poste de secours, actuelle guinguette";Eure-et-Loir
ACR0000341;Centre-Val de Loire;Châteauroux;33 bis boulevard Saint-Denis;"46.8162030289654, 1.70859011861099";"Groupe scolaire Jean-Zay, anciennement groupe scolaire Saint-Denis puis Lyautey";Indre
ACR0000351;Centre-Val de Loire;Saint-Marcel;Les Mersans;"46.6006582684332, 1.51527026952966";Musée archéologique d’Argentomagus;Indre
ACR0000357;Centre-Val de Loire;Joué-les-Tours;Allée du Bois-Tailhar;"47.358346013044, 0.679745146940233";Lotissement du Bois-Tailhar;Indre-et-Loire
ACR0000358;Centre-Val de Loire;Joué-les-Tours;18 rue du Gravier;"47.3492142828434, 0.686261742021941";Villa Le Gravier;Indre-et-Loire
ACR0000373;Centre-Val de Loire;Tours;Rue Couvrat-Desvergnes / rue de la Marne / rue Jean-Moulin / place du 8-Mai-1945;"47.3835765612648, 0.707469494718115";Cité-jardin Jolivet;Indre-et-Loire
ACR0000381;Centre-Val de Loire;Tours;26 bis boulevard Heurteloup / rue Bernard-Palissy;"47.3917498704351, 0.693544059758059";Palais des Congrès;Indre-et-Loire
ACR0000390;Centre-Val de Loire;Châteauneuf-sur-Loire;Route départementale 11;"47.8587058372927, 2.22329781004534";Pont suspendu sur la Loire;Loiret
ACR0000396;Centre-Val de Loire;Montargis;7 villa Belle-Vue;"48.000500328349, 2.72690469352768";Temple protestant – Centre cultuel Renée-de-France;Loiret
ACR0000401;Centre-Val de Loire;Orléans;Place Sainte-Croix / 1 rue Fernand-Rabier / 2 rue de l’Etape;"47.9018143850747, 1.90899537085755";"Ensemble : extension de l’hôtel de ville, hôtel de région, musée des Beaux-Arts, place Sainte-Croix";Loiret
ACR0000415;Centre-Val de Loire;Orléans-La Source;6 avenue de Concyr;"47.8288979543638, 1.93527185607199";"Ancien Centre Mécanographique Régional, actuel Établissement des Services informatiques des Impôts (ESI)";Loiret
ACR0000416;Centre-Val de Loire;Orléans-La Source;4 avenue Denis-Diderot;"47.8346133698383, 1.93866737923113";Château d’eau;Loiret
ACR0000434;Centre-Val de Loire;Faverolles-sur-Cher;rue de la Plage;"47.3410683835736, 1.18330394160313";Parc-plage de Montrichard;Loir-et-Cher
ACR0000447;Grand Est;Ballay;rue Notre-Dame;"49.4300772556384, 4.74819048440367";Mairie-École;Ardennes
ACR0000448;Grand Est;Charleville-Mézières;rue Albert-Poulain;"49.7817779124533, 4.71193894263665";Église Sainte-Jeanne-d'Arc;Ardennes
ACR0000462;Grand Est;Warcq;boulevard Lucien-Perquin;"49.7794724021148, 4.694777984965321";Église Saint-Paul;Ardennes
ACR0000468;Grand Est;Troyes;20 rue Ambroise-Cottet;"48.3007539573361, 4.06989189841457";Immeuble;Aube
ACR0000494;Grand Est;Mulhouse;84 rue de Verdun;"47.7367968661658, 7.337773315209681";Église du Sacré-Coeur;Haut-Rhin
ACR0000498;Grand Est;Chaumont;21 boulevard Gambetta;"48.1146458811402, 5.14471297409613";Établissement administratif de l’Inspection académique;Haute-Marne
ACR0000511;Grand Est;Mulhouse;3 rue Fenelon;"47.7351313212515, 7.310955415589931";Église paroissiale Saint-François-d’Assise;Haut-Rhin
ACR0000515;Grand Est;Mulhouse;5 porte de Bâle;"47.7472819458682, 7.343663327234001";Porte de Bâle;Haut-Rhin
ACR0000524;Grand Est;Epernay;rue Jean-Sébastien-Bach;"49.0355370297179, 3.9662609843655003";"""Immeuble ""Les Pyramides""""";Marne
ACR0000529;Grand Est;Reims;57 rue Pierre-Taittinger;"49.2365220119051, 4.0016826467333";"Université de Reims Champagne-Ardenne, campus de la Croix-Rouge, dit les Coquilles";Marne
ACR0000531;Grand Est;Reims;;;Cité-jardin Maison Blanche;Marne
ACR0000533;Grand Est;Reims;rue de Brazzaville;"49.2548723406979, 4.05966278544485";Église Saint-Vincent-de-Paul;Marne
ACR0000549;Grand Est;Azerailles;place Général Hell;"48.4878490551971, 6.6959682393982";Église Saint-Laurent;Meurthe-et-Moselle
ACR0000554;Grand Est;Laxou;avenue de l'Europe;"48.6794232512425, 6.14823236127285";"""Église Saint-Paul reconvertie en centre culturel""";Meurthe-et-Moselle
ACR0000556;Grand Est;Longwy;6 avenue Hippolyte-d’Huart;"49.51605289783951, 5.77807771209243";anciens grands bureaux de l’entreprise Senelle-Maubeuge;Meurthe-et-Moselle
ACR0000563;Grand Est;Nancy;2 rue Bastien-Lepage;"48.6959311927194, 6.1931966928057";Ecole nationale supérieure d’Architecture;Meurthe-et-Moselle
ACR0000574;Grand Est;Piennes;16 rue d’Estienne-d’Orves;"49.320500715659605, 5.78807092727297";Église paroissiale Saint-Crépin – Saint Crépinien;Meurthe-et-Moselle
ACR0000575;Grand Est;Saint-Max;rue Hector-Berlioz;"48.704425765314, 6.19597313282732";"Groupe paroissial Saint-Michel : église, chapelle, salle de catéchisme, logements pour les religieux et les scouts";Meurthe-et-Moselle
ACR0000583;Grand Est;Doulcon;rue de la Gare;"49.3839685878718, 5.1795717272822";Guinguette et dépendances de la plage aménagée du lac Vert;Meuse
ACR0000586;Grand Est;Montmédy;1 rue du Général-Leclerc;"49.5195641404928, 5.36348232728628";cinéma Lux;Meuse
ACR0000590;Grand Est;Corny-sur-Moselle;rue Saint-Martin;"49.0348827974199, 6.05898541377872";Église Saint-Martin l'Evêque;Moselle
ACR0000608;Grand Est;Serémange-Erzange;176 avenue du Général-de-Gaulle;"49.3224609994278, 6.08199732728041";anciens laboratoires de la société lorraine de Laminage continu (Sollac);Moselle
ACR0000611;Grand Est;Bruyères;5 place Henri-Thomas;"48.203787239571504, 6.71568390172609";Piscine municipale Roger-Mercier dite piscine Tournesol;Vosges
ACR0000615;Grand Est;Epinal;23 rue Thiers;"48.1699033218526, 6.45313795868973";chapelle de l’institution scolaire privée Notre-Dame;Vosges
ACR0000617;Grand Est;Gérardmer;boulevard d'Alsace;"48.0748667289879, 6.880551924299341";ancienne usine de tissage Claude;Vosges
ACR0000620;Grand Est;Mirecourt;250 avenue Victor-Hugo;"48.3085180989377, 6.13296879166823";ancienne station-service et garage de l’Avenir;Vosges
ACR0000635;Hauts-de-France;Chaulnes;avenue Jean-Jaurès  place de la République 5 place du Général-de-Gaulle;"49.8185506833672, 2.80013470030902";Église Saint-Didier;Somme
ACR0000640;Hauts-de-France;Proyart;Rue du Monument;"49.8888249430927, 2.70463529033721";Monument aux morts;Somme
ACR0000641;Hauts-de-France;Proyart;"5, rue de l'Église";"49.8869329464537, 2.7066751995104705";Salle des fêtes;Somme
ACR0000650;Île-de-France;Boussy-Saint-Antoine;rue des Jardins;"48.6922731081491, 2.53224878308358";Le Menhir;Essonne
ACR0000653;Île-de-France;Évry-Courcouronnes;20 rue Georges-Brassens;;Mosquée;Essonne
ACR0000655;Île-de-France;Juvisy-sur-Orge;3 place du Maréchal Leclerc;"48.6923702936397, 2.37592940027545";Église Notre-Dame-de-France;Essonne
ACR0000661;Île-de-France;Vigneux-sur-Seine;avenue Henri-Barbusse / rue Henri-Charon rue du Commandant-de-Courcel;"48.7032366298284, 2.42945513385341";Les Briques-Rouges;Essonne
ACR0000663;Île-de-France;Antony;2 rue de l'Abbaye;"48.7537694286207, 2.29971975609915";Chapelle de l'institution Sainte-Marie;Hauts-de-Seine
ACR0000666;Île-de-France;Boulogne-Billancourt;62 rue de l’ Ancienne Mairie;"48.8373670518575, 2.23443038254041";Église Sainte-Thérèse-de-l'Enfant-Jésus;Hauts-de-Seine
ACR0000669;Île-de-France;Châtenay-Malabry;50 rue des Grillons;"48.7581329657645, 2.27034789842804";Chapelle du collège du Sacré-Coeur Institution Sophie-Barat;Hauts-de-Seine
ACR0000671;Île-de-France;Clichy-la-Garenne;quai de Clichy / rue Fournier;"48.9065843421017, 2.29639962615988";Station de pompage dite usine élévatoire de Clichy;Hauts-de-Seine
ACR0000675;Île-de-France;Fontenay-aux-Roses;104 avenue Gabriel Péri;"48.7858082839559, 2.30268565794948";Église Saint-Stanislas des Blagis;Hauts-de-Seine
ACR0000679;Île-de-France;Montrouge;23 avenue du Fort;"48.8109956804879, 2.32341866822883";Chapelle Saint-Luc;Hauts-de-Seine
ACR0000686;Île-de-France;Rueil-Malmaison;97 boulevard National;"48.8886171605579, 2.18354727193299";Église Saint-Jean-Marie- Vianney;Hauts-de-Seine
ACR0000690;Île-de-France;Vanves;2 ter rue Aristide-Briand;"48.8182466913872, 2.28782231480034";Chapelle de la maison de retraite Larmeroux;Hauts-de-Seine
ACR0000691;Île-de-France;Vanves;"""avenue Victor-Basch / place Albert- Culot""";"48.8188248300932, 2.2938261547364";Gare de Vanves-Malakoff;Hauts-de-Seine
ACR0000694;Île-de-France;Paris 12e Arrondissement;3 place Maurice de Fontenay;"48.8449062562169, 2.3888532259020403";Église Saint-Eloi;Paris
ACR0000698;Île-de-France;Paris 12e Arrondissement;2 place de la Bastille;"48.8526006493633, 2.37013912541705";Opéra Bastille (Opéra national de Paris);Paris
ACR0000710;Île-de-France;Paris 15e Arrondissement;55 quai de Grenelle;"48.8505108969103, 2.283770156102";Tour Totem;Paris
ACR0000712;Île-de-France;Paris 16e Arrondissement;16 avenue de Lamballe;"48.8547703867003, 2.2805032695952403";Chancellerie de l'ambassade de Turquie;Paris
ACR0000714;Île-de-France;Paris 17e Arrondissement;rue du Saint-Ferdinand;"48.878853785696606, 2.29100154114091";Église Saint-Ferdinand-des-Ternes avec sa crypte;Paris
ACR0000715;Île-de-France;Paris 19e Arrondissement;197-221 avenue Jean-Jaurès;"48.8898412285566, 2.39402139843193";Cité de la musique (dont conservatoire national supérieur de Musique et de Danse de Paris);Paris
ACR0000717;Île-de-France;Paris 19e Arrondissement;80 rue de Meaux;"48.8844117461739, 2.37842631377426";Église Notre-Dame-des-Buttes-Chaumont;Paris
ACR0000718;Île-de-France;Paris 19e Arrondissement;93 rue de Crimée;"48.8834569702342, 2.38364550535536";Église Saint-Serge;Paris
ACR0000719;Île-de-France;Paris 19e Arrondissement;67 et 107 avenue de Flandre / 14 et 24 rue Achereau;"48.8898129199878, 2.37463711192504";Les Orgues de Flandre;Paris
ACR0000721;Île-de-France;Paris 4e Arrondissement;19 rue Beaubourg;"48.8608254979531, 2.35239520212984";"Centre national d’art et de culture Georges Pompidou, Institut de recherche et de coordination acoustique";Paris
ACR0000724;Île-de-France;Paris 7e Arrondissement;37 quai Branly / 206-218 rue de l’Université;"48.861058280321, 2.29792618493793";Musée du Quai Branly – Jacques Chirac;Paris
ACR0000729;Île-de-France;Champagne-sur-Seine;149 rue Grande;"48.3923352882643, 2.80545184074601";Chapelle Notre-Dame-de-toutes-les protections;Seine-et-Marne
ACR0000735;Île-de-France;Aubervilliers;1 rue Edouard-Poisson;"48.9105813154538, 2.38425398309002";Stade nautique Marlène-Peratou;Seine-Saint-Denis
ACR0000736;Île-de-France;Aubervilliers;53 route Nationale 2;"48.9168375129509, 2.40599260035543";La Maladrerie;Seine-Saint-Denis
ACR0000741;Île-de-France;Bobigny;rue de l'Étoile;"48.9119566591982, 2.42686908493945";Cité de l'Étoile;Seine-Saint-Denis
ACR0000744;Île-de-France;Drancy;93 avenue Marceau;"48.93045753691211, 2.43053401377563";Église Saint-Jean-l'Evangéliste;Seine-Saint-Denis
ACR0000752;Île-de-France;Pierrefitte-sur-Seine;21 rue Nungesser-et-Coli;"48.95200283565081, 2.35945172726941";Église Sainte-Thérèse-des-Joncherolles;Seine-Saint-Denis
ACR0000756;Île-de-France;Saint-Denis;rue Guynemer;"48.9474431187639, 2.359191669598";cité Guynemer;Seine-Saint-Denis
ACR0000757;Île-de-France;Saint-Denis;avenue Jean-Moulin / place Paul-Langevin rue Jacques-Woog / allée du Professeur-Frühling;"48.9392764097623, 2.36160759244656";Cité Paul-Langevin;Seine-Saint-Denis
ACR0000760;Île-de-France;Villepinte;allée Urbain-le-Verrier / allée Hélène-Boucher;"48.96383, 2.539392";Les Pyramides;Seine-Saint-Denis
ACR0000761;Île-de-France;Cachan;15 rue de Verdun;"48.7921962451663, 2.32248999842901";Église Saint-Jean-l'Evangéliste;Val-de-Marne
ACR0000768;Île-de-France;Ivry-sur-Seine;avenue Georges-Gosnat;"48.8140488192747, 2.38891179842966";Cité Maurice-Thorez;Val-de-Marne
ACR0000769;Île-de-France;Ivry-sur-Seine;place Voltaire;"48.8125703414239, 2.38536120781092";Centre-ville dit centre Jeanne-Hachette;Val-de-Marne
ACR0000774;Île-de-France;Saint-Maurice;1 allée Jean-Biguet;"48.8158642411258, 2.4559125235666";Église des Saints-Anges-gardiens;Val-de-Marne
ACR0000775;Île-de-France;Villejuif;23 rue Sainte-Colombe;"48.7801744747577, 2.36108690452425";Église Sainte-Colombe et chapelle de secours;Val-de-Marne
ACR0000777;Île-de-France;Villeneuve-Saint-Georges;14 vieux chemin de Paris;"48.7573127156635, 2.43692284870168";Rotonde ferroviaire;Val-de-Marne
ACR0000794;Martinique;Ducos;37 rue Zizine et des Étages place André-Aliker;"14.575147804599998, -60.97360714";École de filles « Les Flamboyants »;
ACR0000800;Martinique;Fort-de-France;30-32 rue François-Arago  44 rue Garnier-Pagès;"14.604102, -61.072636499999994";immeuble Antilles;
ACR0000814;Martinique;Marin (Le);rue Victor-Lamon;"14.472246999999998, -60.868795";Ecole de filles Mixte A;
ACR0000818;Martinique;Schoelcher;avenue du Petit-Paradis / rue des Rameaux  rue du Révérend-Père-Charles-Amalric Lieu-dit Plateau Fofo;"14.618010999999997, -61.086441";Lotissement Petit-Paradis;
ACR0000822;Normandie;Monts d'Aunay (Les);place de l'Église;"49.020095, -0.633929";Église Saint-Samson;Calvados
ACR0000828;Normandie;Lisieux;avenue Georges-Duval;"49.1452124653027, 0.266392471390289";Château d'eau;Calvados
ACR0000831;Normandie;Val-d'Arry;rue des Lilas;"49.120209, -0.569982";Église de l'Assomption Notre-Dame;Calvados
ACR0000837;Normandie;Evreux;2 rue de Verdun;"49.023887, 1.146509";Archives départementales;Eure
ACR0000839;Normandie;Evreux;rue de Grenoble / place du Général-de-Gaulle;"49.026208, 1.149329";immeubles en série : îlot L;Eure
ACR0000842;Normandie;Lieurey;;;Église paroissiale Saint-Martin;Eure
ACR0000846;Normandie;Saint-Sébastien-de-Morsent;1 allée Louis Martin;"49.004452408917686, 1.08147108478635";Sanatorium de la Musse;Eure
ACR0000852;Normandie;Cherbourg-en-Cotentin;51 rue Albert-Mahieu;"49.6386941936772, -1.62513388476579";maison;Manche
ACR0000856;Normandie;Thèreval;;;Église Saint-Martin;Manche
ACR0000861;Normandie;Quibou;rue des Tisserands;"49.0681442668023, -1.2005200574314";Église Saint-Rémy;Manche
ACR0000870;Normandie;Argentan;place du Docteur-Couinaud;"48.7440433571957, -0.0165442855149203";Hôtel de ville;Orne
ACR0000874;Normandie;Flers;247 rue Simons;"48.7504035043855, -0.5737895";Bains douches;Orne
ACR0000878;Normandie;Sées;55 rue d'Argentrée;"48.6072856434374, 0.18343859842357";Chapelle de l’ancien Grand séminaire;Orne
ACR0000881;Normandie;Barentin;route du Havre;;Usine de construction électrique dite usine Claret puis société des Moteurs Electriques de Normandie;Seine-Maritime
ACR0000883;Normandie;Bolbec;place Félix-Faure;"49.5180088886211, 0.536036495892677";Poste;Seine-Maritime
ACR0000895;Normandie;Forges-les-Eaux;37 place Brevière;"49.6131314434415, 1.54588684649739";Hôtel de ville;Seine-Maritime
ACR0000898;Normandie;Grainville-la-Teinturière;route de l'Aube Rue - route de Cany - D131;;Villas jumelles;Seine-Maritime
ACR0000899;Normandie;Grand-Couronne;boulevard Maritime;;"Usine à papier dite usine à papier Sonopa, puis la Chapelle Darblay";Seine-Maritime
ACR0000903;Normandie;Grand-Quevilly (Le);rue Gustave-Boutigny;"49.4144046264377, 1.03196281194061";Ecole primaire Jean-Jaurès;Seine-Maritime
ACR0000910;Normandie;Havre (Le);40 rue Gabriel-Péri / 23-29 rue d'Après de Mannevillette;"49.4951646402976, 0.118333173890252";immeubles en série;Seine-Maritime
ACR0000915;Normandie;Havre (Le);387-389 rue Aristide-Briand;"49.5009785507403, 0.143506930367711";Cinéma Normandy;Seine-Maritime
ACR0000921;Normandie;Mont-Saint-Aignan;2 passage Lombard;"49.4546560177118, 1.08625764611286";Villa;Seine-Maritime
ACR0000922;Normandie;Neuchâtel-en-Bray;8 Rue Baron d'Hausse;"49.7331620578179, 1.4422662014721903";"Centre administratif communal regroupant l'hôtel de ville, le tribunal d'instance, théâtre et salle polyvalente";Seine-Maritime
ACR0000933;Normandie;Rouen;29 place de la Cathédrale;;Grande pharmacie du Centre;Seine-Maritime
ACR0000944;Normandie;Tancarville;;"49.4711550059056, 0.466489213791704";Pont;Seine-Maritime
ACR0000945;Nouvelle-Aquitaine;Angoulême;42 place Mulac / faubourg Saint-Cybard;"45.6580879070352, 0.147438458095163";Ecole élémentaire Mario-Roustan;Charente
ACR0000949;Nouvelle-Aquitaine;Brive-la-Gaillarde;Cité Chapélies;"45.1580401647374, 1.54923639989252";"Église paroissiale Sainte-Thérèse de Lisieux, ou Sainte-Thérèse-des-Chapélies (cité des Chapélies)";Corrèze
ACR0000950;Nouvelle-Aquitaine;Brive-la-Gaillarde;rue Léonce-Bourliaguet;"45.1472342165291, 1.49990511789824";"installation sportive Gaëtan-Devaud, piscine et stade";Corrèze
ACR0000951;Nouvelle-Aquitaine;Brive-la-Gaillarde;place de la Liberté;"45.155394, 1.527732";Quartier Champanatier;Corrèze
ACR0000965;Nouvelle-Aquitaine;Boussac;13 rue de la République;"45.957015, 2.167571";Bains-douches;Creuse
ACR0000966;Nouvelle-Aquitaine;Boussac;7 rue du château d'eau;"46.346954629556386, 2.2261842995718553";Château d'eau;Creuse
ACR0000969;Nouvelle-Aquitaine;Faulx-la-Montagne;route départementale 992 rivière Dorat;"45.746719, 1.9344320000000002";barrage du Dorat;Creuse
ACR0000972;Nouvelle-Aquitaine;Guéret;avenue Général de Gaulle / rue du Docteur Manouvrier;"46.170888, 1.87329";station-essence;Creuse
ACR0001000;Nouvelle-Aquitaine;Bordeaux;place Adolphe Buscaillet;"44.840859, -0.577098";"Crèche et bains-douches, actuellement salle des fêtes";Gironde
