reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0001618;Île-de-France;Blanc-Ménil (Le);10 avenue Charles de Gaulle;"48.9445843508482, 2.46743592911853";Lycée Wolfgang Amadeus Mozart;Seine-Saint-Denis
ACR0001634;Île-de-France;Paris 16e Arrondissement;1 place de la porte Molitor;"48.8453187366357, 2.25654235425246";Lycée La Fontaine;Paris
ACR0001651;La Réunion;Saint-Denis;23-26 avenue Léon-Dierx;;Résidence Caricubes I;La Réunion
ACR0001652;La Réunion;Port (Le);"""471 avenue du Vingt-Décembre-1848 / place Félix-Tisserand / place Jean-Tardieu / place N'Guyen-Van-Trot """;;Ensemble Polaris de la Cité des Étoiles;La Réunion
ACR0001660;Île-de-France;Fontenay-sous-Bois;2 rue Edouard Vaillant;"48.8502173237786, 2.4835337507609303";Groupe scolaire Edouard Vaillant;Val-de-Marne
ACR0001662;Nouvelle-Aquitaine;Angoulême;1-3 rue d'Alexandrie;;"""résidence """"Les terrasses d'Aegyptos"""" : pyramide """"Louqsor"""" / pyramide """"Assour""""""";Charente
ACR0001665;Île-de-France;Paris 5e Arrondissement;"1, rue des Fossés-Saint-Bernard";;Institut du Monde arabe;Paris
ACR0001669;Nouvelle-Aquitaine;Lacanau;1 place aux Pains;;Paillotte dite Marina de Talaris;Gironde
ACR0001676;La Réunion;Saint-Denis;60 rue Bertin;"-20.88834251558848, 55.449506824173945";Ancien foyer de jeunes travailleuses (Association Saint François d'Assise);
ACR0001690;Île-de-France;Cergy;Entre la place Hubert Renaud à Cergy et la carrefour de Ham à Neuville-sur-Oise;"49.042534689290115, 2.0376820457861857";"Axe majeur de Cergy : place Hubert Renaud, parc central, boulevard de l’Oise, rue de Vauréal, île astronomique, les étangs de Cergy (Pyramide)";Val-d'Oise
ACR0001696;Bourgogne-Franche-Comté;Dijon;14 rue Marius Chanteur;"47.33773323741617, 5.064766660236146";Salle d'escalade Cime Altitude 245;Côte-d'Or
ACR0001699;Nouvelle-Aquitaine;Biscarosse;2 chemin de l'Arissoulet;"44.4708345491302, -1.1983181429756296";"maison ""Marsan""";Landes
ACR0001700;Hauts-de-France;Laon;rues des Violettes / rue Jules-Romains / rue des Jonquilles / rue des Lilas / rue du Muguet / rue des Roses / rue des Jacinthes / rue de Bousson / rue des Jardiniers / rue des Fauvettes / rue des Mouettes et des Colombes;"49.555738, 3.624744";284 logements individuels «Modèle Innovation» Village de l’Ouest;Aisne
ACR0001704;Hauts-de-France;Villeneuve-d'Ascq;avenue Champollion / 1 allée Chanteclerc / 267-269 allée Chardin;"50.636824, 3.136949";"""Résidence Les Pyramides du Lac, « Modèle Innovation » Maisons Gradins Jardins""";Nord
ACR0001709;Hauts-de-France;Liévin;avenue de la Résistance;"50.430421, 2.770034";"""Résidence « Les Marichelles », """"Modèle innovation"""" Maisons Gradins Jardins""";Pas-de-Calais
ACR0001717;Hauts-de-France;Hersin-Coupigny;Place des Oiseaux / boulevard de la Fossé 10;"50.437864, 2.6516950000000006";"La Cité du 10, « Modèle Innovation» Sicca Sigma";Pas-de-Calais
ACR0001729;La Réunion;Saint-Denis;21 bis rue Sainte-Marie / 28 rue de Paris;"-20.88361525381551, 55.45016451232368";Musée Léon-Dierx;La Réunion
ACR0001746;Occitanie;Montbrun-les-Corbières;12 rue Jules-Ferry;"43.197458589553584, 2.684420765502316";École élémentaire;Aude
ACR0001752;Occitanie;Montpellier;89 boulevard Juan-Miro;"43.60252107300661, 3.9075315129974704";école primaire André-Malraux;Hérault
ACR0001753;Occitanie;Montpellier;20 boulevard Mounie / 21 boulevard des Sports;"43.6192070121109, 3.8909536827145916";école maternelle Ingrid-Bergman / école élémentaire Jean-Moulin;Hérault
ACR0001755;Occitanie;Le Pouget;Route Neuve 10;"43.59111026802022, 3.525183119693232";"groupe scolaire Lou Malhoulet, avec mairie";Hérault
ACR0001756;Occitanie;Cerbère;6 avenue Maréchal-Joffre;"42.441069993013784, 3.1656104329209453";groupe scolaire Jean-Jaurès;Pyrénées-Orientales
ACR0001759;Occitanie;Perpignan;rue des Remparts-Saint-Mathieu / 1 rue Jean-de-Gazanyola;"42.695754232735105, 2.893905877690472";groupe scolaire Jordi-Barre et crèche;Pyrénées-Orientales
